base_variable,wave_1,wave_2,wave_3,wave_4,wave_5,wave_6,n_waves
chronic_a,1,1,1,1,1,1,6
chronic_b,1,1,1,1,1,1,6
chronic_c,1,1,1,1,1,1,6
chronic_d,1,1,1,1,1,1,6
chronic_e,1,1,1,1,1,1,6
chronic_f,1,1,1,1,1,1,6
chronic_g,1,1,1,1,1,1,6
chronic_h,1,1,1,1,1,1,6
chronic_i,1,1,1,1,1,1,6
chronic_j,1,1,1,1,1,1,6
chronic_sum,1,1,1,1,1,1,6
contact1,1,1,1,1,1,1,6
contact2,1,1,1,1,1,1,6
d_com001,1,1,1,1,1,1,6
d_com014,1,1,1,1,1,1,6
d_com015,1,1,1,1,1,1,6
d_com024,1,1,1,1,1,1,6
d_com025,1,1,1,1,1,1,6
d_com031,1,1,1,1,1,1,6
d_com032,1,1,1,1,1,1,6
d_com037,1,1,1,1,1,1,6
d_com049,1,1,1,1,1,1,6
d_com052,1,1,1,1,1,1,6
d_com053,1,1,1,1,1,1,6
d_com054,1,1,1,1,1,1,6
d_com055,1,1,1,1,1,1,6
d_com056,1,1,1,1,1,1,6
d_com057,1,1,1,1,1,1,6
d_com060,1,1,1,1,1,1,6
d_com066,1,1,1,1,1,1,6
d_com068,1,1,1,1,1,1,6
d_com073,1,1,1,1,1,1,6
d_com074,1,1,1,1,1,1,6
d_com075,1,1,1,1,1,1,6
d_com076,1,1,1,1,1,1,6
d_com077,1,1,1,1,1,1,6
d_com078,1,1,1,1,1,1,6
d_com079,1,1,1,1,1,1,6
d_com080,1,1,1,1,1,1,6
d_com081,1,1,1,1,1,1,6
d_com082,1,1,1,1,1,1,6
d_com084,1,1,1,1,1,1,6
d_com085,1,1,1,1,1,1,6
d_com089,1,1,1,1,1,1,6
d_com090,1,1,1,1,1,1,6
d_com092,1,1,1,1,1,1,6
d_com093,1,1,1,1,1,1,6
d_com095,1,1,1,1,1,1,6
d_com096,1,1,1,1,1,1,6
d_com097,1,1,1,1,1,1,6
d_com098,1,1,1,1,1,1,6
d_com101,1,1,1,1,1,1,6
d_com102,1,1,1,1,1,1,6
d_com104,1,1,1,1,1,1,6
d_com105,1,1,1,1,1,1,6
d_com106,1,1,1,1,1,1,6
d_com107,1,1,1,1,1,1,6
d_com108,1,1,1,1,1,1,6
d_com110,1,1,1,1,1,1,6
d_com118,1,1,1,1,1,1,6
d_com125,1,1,1,1,1,1,6
d_com130,1,1,1,1,1,1,6
d_com137,1,1,1,1,1,1,6
d_com138,1,1,1,1,1,1,6
d_com139m,1,1,1,1,1,1,6
d_com139y,1,1,1,1,1,1,6
d_com140,1,1,1,1,1,1,6
d_com142,1,1,1,1,1,1,6
d_com144,1,1,1,1,1,1,6
d_com145,1,1,1,1,1,1,6
d_com149,1,1,1,1,1,1,6
d_com157,1,1,1,1,1,1,6
ea_resp,1,1,1,1,1,1,6
earned,1,1,1,1,1,1,6
ecoact_s,1,1,1,1,1,1,6
edu,1,1,1,1,1,1,6
edu_s,1,1,1,1,1,1,6
emp,1,1,1,1,1,1,6
enu_type,1,1,1,1,1,1,6
exploit,1,1,1,1,1,1,6
f001type,1,1,1,1,1,1,6
f013_n,1,1,1,1,1,1,6
fam1,1,1,1,1,1,1,6
financial,1,1,1,1,1,1,6
financialasset,1,1,1,1,1,1,6
fromchildren,1,1,1,1,1,1,6
fromothers,1,1,1,1,1,1,6
fromparent,1,1,1,1,1,1,6
full_parttime,1,1,1,1,1,1,6
g003,1,1,1,1,1,1,6
g004,1,1,1,1,1,1,6
g007,1,1,1,1,1,1,6
g008,1,1,1,1,1,1,6
g009,1,1,1,1,1,1,6
g010,1,1,1,1,1,1,6
g011,1,1,1,1,1,1,6
g012,1,1,1,1,1,1,6
g013,1,1,1,1,1,1,6
g014,1,1,1,1,1,1,6
g026,1,1,1,1,1,1,6
g027,1,1,1,1,1,1,6
g028,1,1,1,1,1,1,6
g029,1,1,1,1,1,1,6
g030,1,1,1,1,1,1,6
gender1,1,1,1,1,1,1,6
guarantee,1,1,1,1,1,1,6
hhinc,1,1,1,1,1,1,6
hhsize,1,1,1,1,1,1,6
house_sum,1,1,1,1,1,1,6
iadl,1,1,1,1,1,1,6
ind,1,1,1,1,1,1,6
industrial,1,1,1,1,1,1,6
insurance,1,1,1,1,1,1,6
job,1,1,1,1,1,1,6
job_search,1,1,1,1,1,1,6
job_startm,1,1,1,1,1,1,6
job_starty,1,1,1,1,1,1,6
l_sum,1,1,1,1,1,1,6
labor_st,1,1,1,1,1,1,6
livenear,1,1,1,1,1,1,6
livewith,1,1,1,1,1,1,6
livewithnm,1,1,1,1,1,1,6
marital,1,1,1,1,1,1,6
mgrip,1,1,1,1,1,1,6
mniw_d,1,1,1,1,1,1,6
mniw_m,1,1,1,1,1,1,6
mniw_y,1,1,1,1,1,1,6
n_days,1,1,1,1,1,1,6
national,1,1,1,1,1,1,6
oopm1,1,1,1,1,1,1,6
oopm2,1,1,1,1,1,1,6
other,1,1,1,1,1,1,6
otherasset,1,1,1,1,1,1,6
panel_n,1,1,1,1,1,1,6
particular,1,1,1,1,1,1,6
passets,1,1,1,1,1,1,6
pensionins,1,1,1,1,1,1,6
personal,1,1,1,1,1,1,6
pid,1,1,1,1,1,1,6
pinc,1,1,1,1,1,1,6
pliabilities,1,1,1,1,1,1,6
pnetassets,1,1,1,1,1,1,6
present_ecotype,1,1,1,1,1,1,6
present_labor,1,1,1,1,1,1,6
publictrans,1,1,1,1,1,1,6
realestate,1,1,1,1,1,1,6
realestateinc,1,1,1,1,1,1,6
region1,1,1,1,1,1,1,6
region2,1,1,1,1,1,1,6
region3,1,1,1,1,1,1,6
regularins,1,1,1,1,1,1,6
residence,1,1,1,1,1,1,6
residence_,1,1,1,1,1,1,6
retired,1,1,1,1,1,1,6
s_sum,1,1,1,1,1,1,6
selfemployed,1,1,1,1,1,1,6
sideline,1,1,1,1,1,1,6
size_c,1,1,1,1,1,1,6
size_n,1,1,1,1,1,1,6
smoke,1,1,1,1,1,1,6
socialsecurity,1,1,1,1,1,1,6
socialwelfare,1,1,1,1,1,1,6
status,1,1,1,1,1,1,6
target1,1,1,1,1,1,1,6
tochildren,1,1,1,1,1,1,6
toothers,1,1,1,1,1,1,6
toparent,1,1,1,1,1,1,6
transferfrom,1,1,1,1,1,1,6
transferto,1,1,1,1,1,1,6
unemployment,1,1,1,1,1,1,6
wage,1,1,1,1,1,1,6
wgt_c,1,1,1,1,1,1,6
wholelifeins,1,1,1,1,1,1,6
year2,1,1,1,1,1,1,6
ba069,0,1,1,1,1,1,5
ba070,0,1,1,1,1,1,5
ba076,0,1,1,1,1,1,5
bb009,0,1,1,1,1,1,5
bb015,0,1,1,1,1,1,5
c002,0,1,1,1,1,1,5
d_com003,0,1,1,1,1,1,5
d_com012,0,1,1,1,1,1,5
d_com028,0,1,1,1,1,1,5
d_com094,0,1,1,1,1,1,5
d_com112,0,1,1,1,1,1,5
d_com128,0,1,1,1,1,1,5
d_com129,0,1,1,1,1,1,5
d_com147,0,1,1,1,1,1,5
e201,0,1,1,1,1,1,5
e207,0,1,1,1,1,1,5
e213,0,1,1,1,1,1,5
e219,0,1,1,1,1,1,5
e225,0,1,1,1,1,1,5
e231,0,1,1,1,1,1,5
e237,0,1,1,1,1,1,5
e251,0,1,1,1,1,1,5
eb_resp,0,1,1,1,1,1,5
fam2,1,1,1,1,1,0,5
g031,0,1,1,1,1,1,5
g032,0,1,1,1,1,1,5
g101,0,1,1,1,1,1,5
g104,0,1,1,1,1,1,5
g106,0,1,1,1,1,1,5
g107,0,1,1,1,1,1,5
g108,0,1,1,1,1,1,5
g110,0,1,1,1,1,1,5
g111,0,1,1,1,1,1,5
g112,0,1,1,1,1,1,5
g116,0,1,1,1,1,1,5
hhassets,0,1,1,1,1,1,5
hhliabilities,0,1,1,1,1,1,5
hhnetassets,0,1,1,1,1,1,5
position,0,1,1,1,1,1,5
type,0,1,1,1,1,1,5
wgt_p,0,1,1,1,1,1,5
c141,1,1,1,1,0,0,4
g005,1,1,1,1,0,0,4
a036,0,0,0,1,1,1,3
d_com102_1,0,0,0,1,1,1,3
d_com112_1,0,0,0,1,1,1,3
a036_1,0,0,0,0,1,1,2
c075mn,0,0,0,0,1,1,2
c075yn,0,0,0,0,1,1,2
c079mn,0,0,0,0,1,1,2
c079yn,0,0,0,0,1,1,2
c318n,0,0,0,0,1,1,2
c319n,0,0,0,0,1,1,2
c320n,0,0,0,0,1,1,2
c321n,0,0,0,0,1,1,2
c324n,0,0,0,0,1,1,2
c325n,0,0,0,0,1,1,2
c329n,0,0,0,0,1,1,2
c330n,0,0,0,0,1,1,2
c331n,0,0,0,0,1,1,2
c332n,0,0,0,0,1,1,2
c334n,0,0,0,0,1,1,2
chronic_k,0,0,0,0,1,1,2
chronic_l,0,0,0,0,1,1,2
d_com052_1,0,0,0,1,1,0,2
disabled_pension,0,0,0,0,1,1,2
e243,0,0,0,0,1,1,2
e273,0,0,0,0,1,1,2
g004a,0,0,0,0,1,1,2
g004b,0,0,0,0,1,1,2
senior_pension,0,0,0,0,1,1,2
a036_01,0,0,0,1,0,0,1
d_com052_01,0,0,0,0,0,1,1
oopm1_1,1,0,0,0,0,0,1
