variable,role,source_wave,decision
c203,candidate_predictor,Wave 1,Pending EDA and feature selection
c204,candidate_predictor,Wave 1,Pending EDA and feature selection
c205,candidate_predictor,Wave 1,Pending EDA and feature selection
c206,candidate_predictor,Wave 1,Pending EDA and feature selection
c207,candidate_predictor,Wave 1,Pending EDA and feature selection
c208,candidate_predictor,Wave 1,Pending EDA and feature selection
c209,candidate_predictor,Wave 1,Pending EDA and feature selection
c210,candidate_predictor,Wave 1,Pending EDA and feature selection
c211,candidate_predictor,Wave 1,Pending EDA and feature selection
c212,candidate_predictor,Wave 1,Pending EDA and feature selection
c213,candidate_predictor,Wave 1,Pending EDA and feature selection
c214,candidate_predictor,Wave 1,Pending EDA and feature selection
c215,candidate_predictor,Wave 1,Pending EDA and feature selection
c216,candidate_predictor,Wave 1,Pending EDA and feature selection
c217,candidate_predictor,Wave 1,Pending EDA and feature selection
c301,candidate_predictor,Wave 1,Pending EDA and feature selection
c302,candidate_predictor,Wave 1,Pending EDA and feature selection
c303,candidate_predictor,Wave 1,Pending EDA and feature selection
c304,candidate_predictor,Wave 1,Pending EDA and feature selection
c305,candidate_predictor,Wave 1,Pending EDA and feature selection
c306,candidate_predictor,Wave 1,Pending EDA and feature selection
c309,candidate_predictor,Wave 1,Pending EDA and feature selection
c310,candidate_predictor,Wave 1,Pending EDA and feature selection
c311,candidate_predictor,Wave 1,Pending EDA and feature selection
c312,candidate_predictor,Wave 1,Pending EDA and feature selection
c313,candidate_predictor,Wave 1,Pending EDA and feature selection
c318,candidate_predictor,Wave 1,Pending EDA and feature selection
c330,candidate_predictor,Wave 1,Pending EDA and feature selection
c333,candidate_predictor,Wave 1,Pending EDA and feature selection
c334,candidate_predictor,Wave 1,Pending EDA and feature selection
c337,candidate_predictor,Wave 1,Pending EDA and feature selection
c340,candidate_predictor,Wave 1,Pending EDA and feature selection
c343,candidate_predictor,Wave 1,Pending EDA and feature selection
c346,candidate_predictor,Wave 1,Pending EDA and feature selection
c550,candidate_predictor,Wave 1,Pending EDA and feature selection
chronic_a,candidate_predictor,Wave 1,Pending EDA and feature selection
chronic_b,candidate_predictor,Wave 1,Pending EDA and feature selection
chronic_c,candidate_predictor,Wave 1,Pending EDA and feature selection
chronic_d,candidate_predictor,Wave 1,Pending EDA and feature selection
chronic_f,candidate_predictor,Wave 1,Pending EDA and feature selection
chronic_g,candidate_predictor,Wave 1,Pending EDA and feature selection
chronic_h,candidate_predictor,Wave 1,Pending EDA and feature selection
chronic_i,candidate_predictor,Wave 1,Pending EDA and feature selection
chronic_j,candidate_predictor,Wave 1,Pending EDA and feature selection
chronic_sum,candidate_predictor,Wave 1,Pending EDA and feature selection
contact1,candidate_predictor,Wave 1,Pending EDA and feature selection
contact2,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com001,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com014,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com015,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com024,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com025,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com031,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com032,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com037,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com049,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com052,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com053,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com054,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com055,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com056,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com057,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com060,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com066,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com068,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com073,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com074,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com075,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com076,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com077,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com078,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com079,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com080,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com081,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com082,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com084,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com085,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com089,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com090,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com092,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com093,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com095,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com096,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com097,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com098,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com101,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com102,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com104,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com105,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com106,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com107,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com108,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com110,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com118,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com125,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com130,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com137,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com138,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com139m,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com139y,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com140,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com142,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com144,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com145,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com149,candidate_predictor,Wave 1,Pending EDA and feature selection
d_com157,candidate_predictor,Wave 1,Pending EDA and feature selection
ea_resp,candidate_predictor,Wave 1,Pending EDA and feature selection
earned,candidate_predictor,Wave 1,Pending EDA and feature selection
ecoact_s,candidate_predictor,Wave 1,Pending EDA and feature selection
edu,candidate_predictor,Wave 1,Pending EDA and feature selection
edu_s,candidate_predictor,Wave 1,Pending EDA and feature selection
emp,candidate_predictor,Wave 1,Pending EDA and feature selection
enu_type,candidate_predictor,Wave 1,Pending EDA and feature selection
exploit,candidate_predictor,Wave 1,Pending EDA and feature selection
f001type,candidate_predictor,Wave 1,Pending EDA and feature selection
f013_n,candidate_predictor,Wave 1,Pending EDA and feature selection
fam1,candidate_predictor,Wave 1,Pending EDA and feature selection
financial,candidate_predictor,Wave 1,Pending EDA and feature selection
financialasset,candidate_predictor,Wave 1,Pending EDA and feature selection
fromchildren,candidate_predictor,Wave 1,Pending EDA and feature selection
fromothers,candidate_predictor,Wave 1,Pending EDA and feature selection
fromparent,candidate_predictor,Wave 1,Pending EDA and feature selection
full_parttime,candidate_predictor,Wave 1,Pending EDA and feature selection
g003,candidate_predictor,Wave 1,Pending EDA and feature selection
g004,candidate_predictor,Wave 1,Pending EDA and feature selection
g007,candidate_predictor,Wave 1,Pending EDA and feature selection
g008,candidate_predictor,Wave 1,Pending EDA and feature selection
g009,candidate_predictor,Wave 1,Pending EDA and feature selection
g010,candidate_predictor,Wave 1,Pending EDA and feature selection
g011,candidate_predictor,Wave 1,Pending EDA and feature selection
g012,candidate_predictor,Wave 1,Pending EDA and feature selection
g013,candidate_predictor,Wave 1,Pending EDA and feature selection
g014,candidate_predictor,Wave 1,Pending EDA and feature selection
g026,candidate_predictor,Wave 1,Pending EDA and feature selection
g027,candidate_predictor,Wave 1,Pending EDA and feature selection
g028,candidate_predictor,Wave 1,Pending EDA and feature selection
g029,candidate_predictor,Wave 1,Pending EDA and feature selection
g030,candidate_predictor,Wave 1,Pending EDA and feature selection
gender1,candidate_predictor,Wave 1,Pending EDA and feature selection
guarantee,candidate_predictor,Wave 1,Pending EDA and feature selection
hhinc,candidate_predictor,Wave 1,Pending EDA and feature selection
hhsize,candidate_predictor,Wave 1,Pending EDA and feature selection
house_sum,candidate_predictor,Wave 1,Pending EDA and feature selection
iadl,candidate_predictor,Wave 1,Pending EDA and feature selection
ind,candidate_predictor,Wave 1,Pending EDA and feature selection
industrial,candidate_predictor,Wave 1,Pending EDA and feature selection
insurance,candidate_predictor,Wave 1,Pending EDA and feature selection
job,candidate_predictor,Wave 1,Pending EDA and feature selection
job_search,candidate_predictor,Wave 1,Pending EDA and feature selection
job_startm,candidate_predictor,Wave 1,Pending EDA and feature selection
job_starty,candidate_predictor,Wave 1,Pending EDA and feature selection
l_sum,candidate_predictor,Wave 1,Pending EDA and feature selection
labor_st,candidate_predictor,Wave 1,Pending EDA and feature selection
livenear,candidate_predictor,Wave 1,Pending EDA and feature selection
livewith,candidate_predictor,Wave 1,Pending EDA and feature selection
livewithnm,candidate_predictor,Wave 1,Pending EDA and feature selection
marital,candidate_predictor,Wave 1,Pending EDA and feature selection
mgrip,candidate_predictor,Wave 1,Pending EDA and feature selection
mniw_d,candidate_predictor,Wave 1,Pending EDA and feature selection
mniw_m,candidate_predictor,Wave 1,Pending EDA and feature selection
mniw_y,candidate_predictor,Wave 1,Pending EDA and feature selection
n_days,candidate_predictor,Wave 1,Pending EDA and feature selection
national,candidate_predictor,Wave 1,Pending EDA and feature selection
oopm1,candidate_predictor,Wave 1,Pending EDA and feature selection
oopm2,candidate_predictor,Wave 1,Pending EDA and feature selection
other,candidate_predictor,Wave 1,Pending EDA and feature selection
otherasset,candidate_predictor,Wave 1,Pending EDA and feature selection
panel_n,candidate_predictor,Wave 1,Pending EDA and feature selection
particular,candidate_predictor,Wave 1,Pending EDA and feature selection
passets,candidate_predictor,Wave 1,Pending EDA and feature selection
pensionins,candidate_predictor,Wave 1,Pending EDA and feature selection
personal,candidate_predictor,Wave 1,Pending EDA and feature selection
pinc,candidate_predictor,Wave 1,Pending EDA and feature selection
pliabilities,candidate_predictor,Wave 1,Pending EDA and feature selection
pnetassets,candidate_predictor,Wave 1,Pending EDA and feature selection
present_ecotype,candidate_predictor,Wave 1,Pending EDA and feature selection
present_labor,candidate_predictor,Wave 1,Pending EDA and feature selection
publictrans,candidate_predictor,Wave 1,Pending EDA and feature selection
realestate,candidate_predictor,Wave 1,Pending EDA and feature selection
realestateinc,candidate_predictor,Wave 1,Pending EDA and feature selection
region1,candidate_predictor,Wave 1,Pending EDA and feature selection
region2,candidate_predictor,Wave 1,Pending EDA and feature selection
region3,candidate_predictor,Wave 1,Pending EDA and feature selection
regularins,candidate_predictor,Wave 1,Pending EDA and feature selection
residence,candidate_predictor,Wave 1,Pending EDA and feature selection
residence_,candidate_predictor,Wave 1,Pending EDA and feature selection
retired,candidate_predictor,Wave 1,Pending EDA and feature selection
s_sum,candidate_predictor,Wave 1,Pending EDA and feature selection
selfemployed,candidate_predictor,Wave 1,Pending EDA and feature selection
sideline,candidate_predictor,Wave 1,Pending EDA and feature selection
size_c,candidate_predictor,Wave 1,Pending EDA and feature selection
size_n,candidate_predictor,Wave 1,Pending EDA and feature selection
smoke,candidate_predictor,Wave 1,Pending EDA and feature selection
socialsecurity,candidate_predictor,Wave 1,Pending EDA and feature selection
socialwelfare,candidate_predictor,Wave 1,Pending EDA and feature selection
status,candidate_predictor,Wave 1,Pending EDA and feature selection
target1,candidate_predictor,Wave 1,Pending EDA and feature selection
tochildren,candidate_predictor,Wave 1,Pending EDA and feature selection
toothers,candidate_predictor,Wave 1,Pending EDA and feature selection
toparent,candidate_predictor,Wave 1,Pending EDA and feature selection
transferfrom,candidate_predictor,Wave 1,Pending EDA and feature selection
transferto,candidate_predictor,Wave 1,Pending EDA and feature selection
unemployment,candidate_predictor,Wave 1,Pending EDA and feature selection
wage,candidate_predictor,Wave 1,Pending EDA and feature selection
wgt_c,survey_weight,Wave 1,Not used as ordinary predictor
wholelifeins,candidate_predictor,Wave 1,Pending EDA and feature selection
year2,candidate_predictor,Wave 1,Pending EDA and feature selection
incident_liver_disease_10y,target,Constructed,Not used as ordinary predictor
